Response,Response Type,Learner,Response Content,Source,Response Time Type,Point In Time Value,Point In Time Reference System,Interval Start Value,Interval Start Reference System,Interval End Value,Response Time Key,Interval End Reference System,Affects Awareness Observation,Affects Awareness Observation Topic,Affects Awareness Observation Skill
OWL Constraint Modeling Review Performance Note,EvaluationResult,Learner Kai,OWL Constraint Modeling Review evidence update: 65 Score Percent for OWL Modeling Constraint Analysis.,Instructor Reviewer,PointInTime,2026-02-20T14:28:00Z,ISO 8601 UTC,,,,2026-02-20T14:28:00Z,,OWL Modeling Constraint Analysis Scenario Update,OWL,OWL Modeling Constraint Analysis
OWL Dialect Selection Revision Cue,Response,Learner Ella,OWL Dialect Selection: add a short rationale for the chosen representation using the Expressivity evidence from OWL Dialect Selection Brief.,Adaptive Tutor,PointInTime,2026-02-21T14:00:00Z,ISO 8601 UTC,,,,2026-02-21T14:00:00Z,,OWL Dialect Selection Task Evidence,Expressivity,OWL Dialect Selection
OWL Dialect Selection Review Comment,LearningFeedback,Learner Ella,OWL Dialect Selection: strengthen the justification around Expressivity before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-21T14:00:00Z,ISO 8601 UTC,,,,2026-02-21T14:00:00Z,,OWL Dialect Selection Task Evidence,Expressivity,OWL Dialect Selection
OWL Dialect Selection Brief Assessment Value,EvaluationResult,Learner Ella,OWL Dialect Selection Brief scored artifact: 72 Score Percent for OWL Dialect Selection.,Instructor Reviewer,PointInTime,2026-02-21T14:00:00Z,ISO 8601 UTC,,,,2026-02-21T14:00:00Z,,OWL Dialect Selection Task Evidence,Expressivity,OWL Dialect Selection
Manchester Syntax Translation Tutor Note,Response,Learner Courtney,Manchester Syntax Translation: separate terminology recall from model judgment using the Axiom evidence from Manchester Axiom Translation.,Adaptive Tutor,PointInTime,2026-02-22T14:07:00Z,ISO 8601 UTC,,,,2026-02-22T14:07:00Z,,Manchester Syntax Translation Revision State,Axiom,Manchester Syntax Translation
Manchester Syntax Translation Next Step Note,LearningFeedback,Learner Courtney,Manchester Syntax Translation: compare the nearby alternative around Axiom before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-22T14:07:00Z,ISO 8601 UTC,,,,2026-02-22T14:07:00Z,,Manchester Syntax Translation Revision State,Axiom,Manchester Syntax Translation
Manchester Axiom Translation Review Result,EvaluationResult,Learner Courtney,Manchester Axiom Translation review summary: 79 Score Percent for Manchester Syntax Translation.,Instructor Reviewer,PointInTime,2026-02-22T14:07:00Z,ISO 8601 UTC,,,,2026-02-22T14:07:00Z,,Manchester Syntax Translation Revision State,Axiom,Manchester Syntax Translation
SHACL Shape Validation Taskpoint Advice,Response,Learner Ethan,SHACL Constraint Validation: trace the decision from topic cue to final artifact using the Schema evidence from SHACL Shape Validation Task.,Adaptive Tutor,PointInTime,2026-02-23T14:14:00Z,ISO 8601 UTC,,,,2026-02-23T14:14:00Z,,SHACL Constraint Validation Rubric Update,Schema,SHACL Constraint Validation
SHACL Constraint Validation Evidence Prompt,LearningFeedback,Learner Ethan,SHACL Constraint Validation: make the decision rule explicit around Schema before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-23T14:14:00Z,ISO 8601 UTC,,,,2026-02-23T14:14:00Z,,SHACL Constraint Validation Rubric Update,Schema,SHACL Constraint Validation
SHACL Shape Validation Task Task Score,EvaluationResult,Learner Ethan,SHACL Shape Validation Task performance trace: 86 Score Percent for SHACL Constraint Validation.,Instructor Reviewer,PointInTime,2026-02-23T14:14:00Z,ISO 8601 UTC,,,,2026-02-23T14:14:00Z,,SHACL Constraint Validation Rubric Update,Schema,SHACL Constraint Validation
Schema.org Vocabulary Alignment Extension Prompt,Response,Learner Connie,Schema.org Vocabulary Alignment: summarize the result as a reviewer note using the rangeIncludes evidence from Schema.org Alignment Exercise.,Adaptive Tutor,PointInTime,2026-02-24T14:21:00Z,ISO 8601 UTC,,,,2026-02-24T14:21:00Z,,Schema.org Vocabulary Alignment Application Snapshot,rangeIncludes,Schema.org Vocabulary Alignment
Schema.org Vocabulary Alignment Extension Prompt,LearningFeedback,Learner Connie,Schema.org Vocabulary Alignment: summarize the result as a reviewer note using the rangeIncludes evidence from Schema.org Alignment Exercise.,Learning Platform,PointInTime,2026-02-24T14:21:00Z,ISO 8601 UTC,,,,2026-02-24T14:21:00Z,,Schema.org Vocabulary Alignment Application Snapshot,rangeIncludes,Schema.org Vocabulary Alignment
Schema.org Alignment Exercise Evidence Rating,EvaluationResult,Learner Connie,Schema.org Alignment Exercise rubric entry: 93 Score Percent for Schema.org Vocabulary Alignment.,Learning Platform,PointInTime,2026-02-24T14:21:00Z,ISO 8601 UTC,,,,2026-02-24T14:21:00Z,,Schema.org Vocabulary Alignment Application Snapshot,rangeIncludes,Schema.org Vocabulary Alignment
Dublin Core Metadata Mapping Hint,Response,Learner Edward,"Dublin Core Metadata Mapping: mark the evidence first, then revise the answer using the Metadata evidence from Dublin Core Metadata Mapping Task.",Adaptive Tutor,PointInTime,2026-02-25T14:28:00Z,ISO 8601 UTC,,,,2026-02-25T14:28:00Z,,Dublin Core Metadata Mapping Taskpoint,Metadata,Dublin Core Metadata Mapping
Dublin Core Metadata Mapping Correction Note,LearningFeedback,Learner Edward,Dublin Core Metadata Mapping: correct the missing cue around Metadata before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-02-25T14:28:00Z,ISO 8601 UTC,,,,2026-02-25T14:28:00Z,,Dublin Core Metadata Mapping Taskpoint,Metadata,Dublin Core Metadata Mapping
Dublin Core Metadata Mapping Task Score Record,EvaluationResult,Learner Edward,Dublin Core Metadata Mapping Task recorded outcome: 67 Score Percent for Dublin Core Metadata Mapping.,Learning Platform,PointInTime,2026-02-25T14:28:00Z,ISO 8601 UTC,,,,2026-02-25T14:28:00Z,,Dublin Core Metadata Mapping Taskpoint,Metadata,Dublin Core Metadata Mapping
Observation Ontology Modeling Review Guidance,Response,Learner Chris,Observation Ontology Modeling: compare your draft with the worked case using the Ontology evidence from Observation Modeling Scenario.,Adaptive Tutor,PointInTime,2026-02-26T14:00:00Z,ISO 8601 UTC,,,,2026-02-26T14:00:00Z,,Observation Ontology Modeling Review,Ontology,Observation Ontology Modeling
Observation Ontology Modeling Revision Guidance,LearningFeedback,Learner Chris,Observation Ontology Modeling: compare the nearby alternative around Ontology before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-26T14:00:00Z,ISO 8601 UTC,,,,2026-02-26T14:00:00Z,,Observation Ontology Modeling Review,Ontology,Observation Ontology Modeling
Observation Modeling Scenario Rubric Rating,EvaluationResult,Learner Chris,Observation Modeling Scenario checkpoint value: 74 Score Percent for Observation Ontology Modeling.,Instructor Reviewer,PointInTime,2026-02-26T14:00:00Z,ISO 8601 UTC,,,,2026-02-26T14:00:00Z,,Observation Ontology Modeling Review,Ontology,Observation Ontology Modeling
Provenance Relationship Modeling Next Step,Response,Learner Carla,Provenance Relationship Modeling: name the missing assumption before continuing using the Provenance evidence from Provenance Chain Modeling Task.,Adaptive Tutor,PointInTime,2026-02-27T14:07:00Z,ISO 8601 UTC,,,,2026-02-27T14:07:00Z,,Provenance Relationship Modeling Practice Update,Provenance,Provenance Relationship Modeling
Provenance Relationship Modeling Coaching Note,LearningFeedback,Learner Carla,Provenance Relationship Modeling: make the decision rule explicit around Provenance before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-27T14:07:00Z,ISO 8601 UTC,,,,2026-02-27T14:07:00Z,,Provenance Relationship Modeling Practice Update,Provenance,Provenance Relationship Modeling
Provenance Chain Modeling Task Checkpoint Score,EvaluationResult,Learner Carla,Provenance Chain Modeling Task assessment entry: 81 Score Percent for Provenance Relationship Modeling.,Instructor Reviewer,PointInTime,2026-02-27T14:07:00Z,ISO 8601 UTC,,,,2026-02-27T14:07:00Z,,Provenance Relationship Modeling Practice Update,Provenance,Provenance Relationship Modeling
SKOS Concept Scheme Modeling Practice Prompt,Response,Learner Oratius,SKOS Concept Scheme Modeling: write the relation or rule in plain language using the Taxonomy evidence from Concept Scheme Modeling Task.,Adaptive Tutor,PointInTime,2026-02-28T14:14:00Z,ISO 8601 UTC,,,,2026-02-28T14:14:00Z,,SKOS Concept Scheme Modeling Scenario Update,Taxonomy,SKOS Concept Scheme Modeling
SKOS Concept Scheme Modeling Practice Cue,LearningFeedback,Learner Oratius,SKOS Concept Scheme Modeling: add evidence for the modeling choice around Taxonomy before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-02-28T14:14:00Z,ISO 8601 UTC,,,,2026-02-28T14:14:00Z,,SKOS Concept Scheme Modeling Scenario Update,Taxonomy,SKOS Concept Scheme Modeling
Concept Scheme Modeling Task Performance Note,EvaluationResult,Learner Oratius,Concept Scheme Modeling Task evidence update: 88 Score Percent for SKOS Concept Scheme Modeling.,Instructor Reviewer,PointInTime,2026-02-28T14:14:00Z,ISO 8601 UTC,,,,2026-02-28T14:14:00Z,,SKOS Concept Scheme Modeling Scenario Update,Taxonomy,SKOS Concept Scheme Modeling
Ontology Tool Selection Revision Cue,Response,Learner Connie,Ontology Tool Selection: try the task again with one fewer hint using the Protege evidence from Modeling Tool Selection Matrix.,Adaptive Tutor,PointInTime,2026-03-01T14:21:00Z,ISO 8601 UTC,,,,2026-03-01T14:21:00Z,,Ontology Tool Selection Task Evidence,Protege,Ontology Tool Selection
Ontology Tool Selection Review Comment,LearningFeedback,Learner Connie,Ontology Tool Selection: extend the same reasoning around Protege before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-01T14:21:00Z,ISO 8601 UTC,,,,2026-03-01T14:21:00Z,,Ontology Tool Selection Task Evidence,Protege,Ontology Tool Selection
Modeling Tool Selection Matrix Assessment Value,EvaluationResult,Learner Connie,Modeling Tool Selection Matrix scored artifact: 95 Score Percent for Ontology Tool Selection.,Instructor Reviewer,PointInTime,2026-03-01T14:21:00Z,ISO 8601 UTC,,,,2026-03-01T14:21:00Z,,Ontology Tool Selection Task Evidence,Protege,Ontology Tool Selection
Protege Ontology Editing Tutor Note,Response,Learner Elias,Protege Ontology Editing: check whether the example supports the conclusion using the Ontology evidence from Protege Editing Lab.,Adaptive Tutor,PointInTime,2026-03-02T14:28:00Z,ISO 8601 UTC,,,,2026-03-02T14:28:00Z,,Protege Ontology Editing Revision State,Ontology,Protege Ontology Editing
Protege Ontology Editing Next Step Note,LearningFeedback,Learner Elias,Protege Ontology Editing: separate the confused terms around Ontology before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-02T14:28:00Z,ISO 8601 UTC,,,,2026-03-02T14:28:00Z,,Protege Ontology Editing Revision State,Ontology,Protege Ontology Editing
Protege Editing Lab Review Result,EvaluationResult,Learner Elias,Protege Editing Lab review summary: 69 Score Percent for Protege Ontology Editing.,Instructor Reviewer,PointInTime,2026-03-02T14:28:00Z,ISO 8601 UTC,,,,2026-03-02T14:28:00Z,,Protege Ontology Editing Revision State,Ontology,Protege Ontology Editing
Knowledge Graph Deployment Planning Checkpoint Advice,Response,Learner Connie,Knowledge Graph Deployment Planning: turn the feedback into a two-step revision using the Knowledge Graph evidence from KG Deployment Readiness Review.,Adaptive Tutor,PointInTime,2026-03-03T14:00:00Z,ISO 8601 UTC,,,,2026-03-03T14:00:00Z,,Knowledge Graph Deployment Planning Rubric Update,Knowledge Graph,Knowledge Graph Deployment Planning
Knowledge Graph Deployment Planning Evidence Prompt,LearningFeedback,Learner Connie,Knowledge Graph Deployment Planning: make the decision rule explicit around Knowledge Graph before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-03T14:00:00Z,ISO 8601 UTC,,,,2026-03-03T14:00:00Z,,Knowledge Graph Deployment Planning Rubric Update,Knowledge Graph,Knowledge Graph Deployment Planning
KG Deployment Readiness Review Task Score,EvaluationResult,Learner Connie,KG Deployment Readiness Review performance trace: 76 Score Percent for Knowledge Graph Deployment Planning.,Instructor Reviewer,PointInTime,2026-03-03T14:00:00Z,ISO 8601 UTC,,,,2026-03-03T14:00:00Z,,Knowledge Graph Deployment Planning Rubric Update,Knowledge Graph,Knowledge Graph Deployment Planning
Knowledge Engineering Workflow Planning Extension Prompt,Response,Learner Cameron,Knowledge Engineering Workflow Planning: use a contrasting example to test the claim using the Knowledge Graph evidence from Knowledge Engineering Workflow Plan.,Adaptive Tutor,PointInTime,2026-03-04T14:07:00Z,ISO 8601 UTC,,,,2026-03-04T14:07:00Z,,Knowledge Engineering Workflow Planning Application Snapshot,Knowledge Graph,Knowledge Engineering Workflow Planning
Knowledge Engineering Workflow Planning Extension Prompt,LearningFeedback,Learner Cameron,Knowledge Engineering Workflow Planning: use a contrasting example to test the claim using the Knowledge Graph evidence from Knowledge Engineering Workflow Plan.,Instructor Reviewer,PointInTime,2026-03-04T14:07:00Z,ISO 8601 UTC,,,,2026-03-04T14:07:00Z,,Knowledge Engineering Workflow Planning Application Snapshot,Knowledge Graph,Knowledge Engineering Workflow Planning
Knowledge Engineering Workflow Plan Evidence Rating,EvaluationResult,Learner Cameron,Knowledge Engineering Workflow Plan rubric entry: 83 Score Percent for Knowledge Engineering Workflow Planning.,Instructor Reviewer,PointInTime,2026-03-04T14:07:00Z,ISO 8601 UTC,,,,2026-03-04T14:07:00Z,,Knowledge Engineering Workflow Planning Application Snapshot,Knowledge Graph,Knowledge Engineering Workflow Planning
Reification Pattern Modeling Hint,Response,Learner Courtney,Reification Pattern Modeling: add a short rationale for the chosen representation using the N-ary Relations evidence from Reification Modeling Scenario.,Adaptive Tutor,PointInTime,2026-03-05T14:14:00Z,ISO 8601 UTC,,,,2026-03-05T14:14:00Z,,Reification Modeling Scenariopoint,N-ary Relations,Reification Pattern Modeling
Reification Pattern Modeling Correction Note,LearningFeedback,Learner Courtney,Reification Pattern Modeling: extend the same reasoning around N-ary Relations before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-05T14:14:00Z,ISO 8601 UTC,,,,2026-03-05T14:14:00Z,,Reification Modeling Scenariopoint,N-ary Relations,Reification Pattern Modeling
Reification Modeling Scenario Score Record,EvaluationResult,Learner Courtney,Reification Modeling Scenario recorded outcome: 90 Score Percent for Reification Pattern Modeling.,Instructor Reviewer,PointInTime,2026-03-05T14:14:00Z,ISO 8601 UTC,,,,2026-03-05T14:14:00Z,,Reification Modeling Scenariopoint,N-ary Relations,Reification Pattern Modeling
GraphQL Query Mapping Review Guidance,Response,Learner Ronnie,GraphQL Query Mapping: separate terminology recall from model judgment using the Query evidence from GraphQL Mapping Exercise.,Adaptive Tutor,PointInTime,2026-03-06T14:21:00Z,ISO 8601 UTC,,,,2026-03-06T14:21:00Z,,GraphQL Query Mapping Review,Query,GraphQL Query Mapping
GraphQL Query Mapping Revision Guidance,LearningFeedback,Learner Ronnie,GraphQL Query Mapping: separate the confused terms around Query before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-06T14:21:00Z,ISO 8601 UTC,,,,2026-03-06T14:21:00Z,,GraphQL Query Mapping Review,Query,GraphQL Query Mapping
GraphQL Mapping Exercise Rubric Rating,EvaluationResult,Learner Ronnie,GraphQL Mapping Exercise checkpoint value: 64 Score Percent for GraphQL Query Mapping.,Instructor Reviewer,PointInTime,2026-03-06T14:21:00Z,ISO 8601 UTC,,,,2026-03-06T14:21:00Z,,GraphQL Query Mapping Review,Query,GraphQL Query Mapping
Knowledge Graph Documentation Planning Next Step,Response,Learner Connie,Knowledge Graph Documentation Planning: trace the decision from topic cue to final artifact using the Metadata evidence from Documentation Coverage Review.,Adaptive Tutor,PointInTime,2026-03-07T14:28:00Z,ISO 8601 UTC,,,,2026-03-07T14:28:00Z,,Knowledge Graph Documentation Planning Practice Update,Metadata,Knowledge Graph Documentation Planning
Knowledge Graph Documentation Planning Coaching Note,LearningFeedback,Learner Connie,Knowledge Graph Documentation Planning: repair the unsupported step around Metadata before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-07T14:28:00Z,ISO 8601 UTC,,,,2026-03-07T14:28:00Z,,Knowledge Graph Documentation Planning Practice Update,Metadata,Knowledge Graph Documentation Planning
Documentation Coverage Review Checkpoint Score,EvaluationResult,Learner Connie,Documentation Coverage Review assessment entry: 71 Score Percent for Knowledge Graph Documentation Planning.,Instructor Reviewer,PointInTime,2026-03-07T14:28:00Z,ISO 8601 UTC,,,,2026-03-07T14:28:00Z,,Knowledge Graph Documentation Planning Practice Update,Metadata,Knowledge Graph Documentation Planning
Knowledge Graph Visualization Tool Selection Practice Prompt,Response,Learner Usman,Knowledge Graph Visualization Tool Selection: summarize the result as a reviewer note using the Knowledge Graph evidence from Visualization Tool Selection Brief.,Adaptive Tutor,PointInTime,2026-03-08T14:00:00Z,ISO 8601 UTC,,,,2026-03-08T14:00:00Z,,Knowledge Graph Visualization Tool Selection Scenario Update,Knowledge Graph,Knowledge Graph Visualization Tool Selection
Knowledge Graph Visualization Tool Selection Practice Cue,LearningFeedback,Learner Usman,Knowledge Graph Visualization Tool Selection: add evidence for the modeling choice around Knowledge Graph before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-08T14:00:00Z,ISO 8601 UTC,,,,2026-03-08T14:00:00Z,,Knowledge Graph Visualization Tool Selection Scenario Update,Knowledge Graph,Knowledge Graph Visualization Tool Selection
Visualization Tool Selection Brief Performance Note,EvaluationResult,Learner Usman,Visualization Tool Selection Brief evidence update: 78 Score Percent for Knowledge Graph Visualization Tool Selection.,Instructor Reviewer,PointInTime,2026-03-08T14:00:00Z,ISO 8601 UTC,,,,2026-03-08T14:00:00Z,,Knowledge Graph Visualization Tool Selection Scenario Update,Knowledge Graph,Knowledge Graph Visualization Tool Selection
Upper Ontology Alignment Revision Cue,Response,Learner Stella,"Upper Ontology Alignment: mark the evidence first, then revise the answer using the Ontology evidence from Upper Ontology Alignment Review.",Adaptive Tutor,PointInTime,2026-03-09T14:07:00Z,ISO 8601 UTC,,,,2026-03-09T14:07:00Z,,Upper Ontology Alignment Task Evidence,Ontology,Upper Ontology Alignment
Upper Ontology Alignment Review Comment,LearningFeedback,Learner Stella,Upper Ontology Alignment: strengthen the justification around Ontology before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-09T14:07:00Z,ISO 8601 UTC,,,,2026-03-09T14:07:00Z,,Upper Ontology Alignment Task Evidence,Ontology,Upper Ontology Alignment
Upper Ontology Alignment Review Assessment Value,EvaluationResult,Learner Stella,Upper Ontology Alignment Review scored artifact: 2 Rubric Level for Upper Ontology Alignment.,Instructor Reviewer,PointInTime,2026-03-09T14:07:00Z,ISO 8601 UTC,,,,2026-03-09T14:07:00Z,,Upper Ontology Alignment Task Evidence,Ontology,Upper Ontology Alignment
Modular Ontology Design Tutor Note,Response,Learner Connie,Modular Ontology Design: compare your draft with the worked case using the Ontology evidence from Modular Ontology Boundary Review.,Adaptive Tutor,PointInTime,2026-03-10T14:14:00Z,ISO 8601 UTC,,,,2026-03-10T14:14:00Z,,Modular Ontology Design Revision State,Ontology,Modular Ontology Design
Modular Ontology Design Next Step Note,LearningFeedback,Learner Connie,Modular Ontology Design: move to a less guided case around Ontology before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-10T14:14:00Z,ISO 8601 UTC,,,,2026-03-10T14:14:00Z,,Modular Ontology Design Revision State,Ontology,Modular Ontology Design
Modular Ontology Boundary Review Review Result,EvaluationResult,Learner Connie,Modular Ontology Boundary Review review summary: 3 Rubric Level for Modular Ontology Design.,Instructor Reviewer,PointInTime,2026-03-10T14:14:00Z,ISO 8601 UTC,,,,2026-03-10T14:14:00Z,,Modular Ontology Design Revision State,Ontology,Modular Ontology Design
Triplestore Selection Checkpoint Advice,Response,Learner Courtney,Triplestore Selection: name the missing assumption before continuing using the Query evidence from Triplestore Selection Matrix.,Adaptive Tutor,PointInTime,2026-03-11T14:21:00Z,ISO 8601 UTC,,,,2026-03-11T14:21:00Z,,Triplestore Selection Rubric Update,Query,Triplestore Selection
Triplestore Selection Evidence Prompt,LearningFeedback,Learner Courtney,Triplestore Selection: repair the unsupported step around Query before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-11T14:21:00Z,ISO 8601 UTC,,,,2026-03-11T14:21:00Z,,Triplestore Selection Rubric Update,Query,Triplestore Selection
Triplestore Selection Matrix Task Score,EvaluationResult,Learner Courtney,Triplestore Selection Matrix performance trace: 66 Score Percent for Triplestore Selection.,Instructor Reviewer,PointInTime,2026-03-11T14:21:00Z,ISO 8601 UTC,,,,2026-03-11T14:21:00Z,,Triplestore Selection Rubric Update,Query,Triplestore Selection
Semantic Web History Explanation Extension Prompt,Response,Learner Silas,Semantic Web History Explanation: write the relation or rule in plain language using the Ontology evidence from Semantic Web Timeline Explanation.,Adaptive Tutor,PointInTime,2026-03-12T14:28:00Z,ISO 8601 UTC,,,,2026-03-12T14:28:00Z,,Semantic Web History Explanation Application Snapshot,Ontology,Semantic Web History Explanation
Semantic Web History Explanation Extension Prompt,LearningFeedback,Learner Silas,Semantic Web History Explanation: write the relation or rule in plain language using the Ontology evidence from Semantic Web Timeline Explanation.,Learning Platform,PointInTime,2026-03-12T14:28:00Z,ISO 8601 UTC,,,,2026-03-12T14:28:00Z,,Semantic Web History Explanation Application Snapshot,Ontology,Semantic Web History Explanation
Semantic Web Timeline Explanation Evidence Rating,EvaluationResult,Learner Silas,Semantic Web Timeline Explanation rubric entry: 73 Score Percent for Semantic Web History Explanation.,Learning Platform,PointInTime,2026-03-12T14:28:00Z,ISO 8601 UTC,,,,2026-03-12T14:28:00Z,,Semantic Web History Explanation Application Snapshot,Ontology,Semantic Web History Explanation
Property Graph Comparison Hint,Response,Learner Kai,Property Graph Comparison: try the task again with one fewer hint using the Graph evidence from Property Graph Comparison Brief.,Adaptive Tutor,PointInTime,2026-03-13T14:00:00Z,ISO 8601 UTC,,,,2026-03-13T14:00:00Z,,Property Graph Comparison Checkpoint,Graph,Property Graph Comparison
Property Graph Comparison Correction Note,LearningFeedback,Learner Kai,Property Graph Comparison: strengthen the justification around Graph before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-13T14:00:00Z,ISO 8601 UTC,,,,2026-03-13T14:00:00Z,,Property Graph Comparison Checkpoint,Graph,Property Graph Comparison
Property Graph Comparison Brief Score Record,EvaluationResult,Learner Kai,Property Graph Comparison Brief recorded outcome: 80 Score Percent for Property Graph Comparison.,Instructor Reviewer,PointInTime,2026-03-13T14:00:00Z,ISO 8601 UTC,,,,2026-03-13T14:00:00Z,,Property Graph Comparison Checkpoint,Graph,Property Graph Comparison
Nanopublication Claim Modeling Review Guidance,Response,Learner Ella,Nanopublication Claim Modeling: check whether the example supports the conclusion using the Provenance evidence from Nanopublication Claim Card.,Adaptive Tutor,PointInTime,2026-03-14T14:07:00Z,ISO 8601 UTC,,,,2026-03-14T14:07:00Z,,Nanopublication Claim Modeling Review,Provenance,Nanopublication Claim Modeling
Nanopublication Claim Modeling Revision Guidance,LearningFeedback,Learner Ella,Nanopublication Claim Modeling: compare the nearby alternative around Provenance before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-14T14:07:00Z,ISO 8601 UTC,,,,2026-03-14T14:07:00Z,,Nanopublication Claim Modeling Review,Provenance,Nanopublication Claim Modeling
Nanopublication Claim Card Rubric Rating,EvaluationResult,Learner Ella,Nanopublication Claim Card checkpoint value: 87 Score Percent for Nanopublication Claim Modeling.,Instructor Reviewer,PointInTime,2026-03-14T14:07:00Z,ISO 8601 UTC,,,,2026-03-14T14:07:00Z,,Nanopublication Claim Modeling Review,Provenance,Nanopublication Claim Modeling
Reasoner Capability Comparison Next Step,Response,Learner Ethan,Reasoner Capability Comparison: turn the feedback into a two-step revision using the Complexity evidence from Reasoner Capability Matrix.,Adaptive Tutor,PointInTime,2026-03-15T14:14:00Z,ISO 8601 UTC,,,,2026-03-15T14:14:00Z,,Reasoner Capability Comparison Practice Update,Complexity,Reasoner Capability Comparison
Reasoner Capability Comparison Coaching Note,LearningFeedback,Learner Ethan,Reasoner Capability Comparison: explain the successful pattern around Complexity before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-15T14:14:00Z,ISO 8601 UTC,,,,2026-03-15T14:14:00Z,,Reasoner Capability Comparison Practice Update,Complexity,Reasoner Capability Comparison
Reasoner Capability Matrix Checkpoint Score,EvaluationResult,Learner Ethan,Reasoner Capability Matrix assessment entry: 94 Score Percent for Reasoner Capability Comparison.,Instructor Reviewer,PointInTime,2026-03-15T14:14:00Z,ISO 8601 UTC,,,,2026-03-15T14:14:00Z,,Reasoner Capability Comparison Practice Update,Complexity,Reasoner Capability Comparison
Entailment Regime Selection Practice Prompt,Response,Learner Debbie,Entailment Regime Selection: use a contrasting example to test the claim using the Inference evidence from Entailment Regime Selection Scenario.,Adaptive Tutor,PointInTime,2026-03-16T14:21:00Z,ISO 8601 UTC,,,,2026-03-16T14:21:00Z,,Entailment Regime Selection Scenario Update,Inference,Entailment Regime Selection
Entailment Regime Selection Practice Cue,LearningFeedback,Learner Debbie,Entailment Regime Selection: recheck the example boundary around Inference before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-16T14:21:00Z,ISO 8601 UTC,,,,2026-03-16T14:21:00Z,,Entailment Regime Selection Scenario Update,Inference,Entailment Regime Selection
Entailment Regime Selection Scenario Performance Note,EvaluationResult,Learner Debbie,Entailment Regime Selection Scenario evidence update: 68 Score Percent for Entailment Regime Selection.,Instructor Reviewer,PointInTime,2026-03-16T14:21:00Z,ISO 8601 UTC,,,,2026-03-16T14:21:00Z,,Entailment Regime Selection Scenario Update,Inference,Entailment Regime Selection
RDF Plus Property Reasoning Revision Cue,Response,Learner Edward,RDF Plus Property Reasoning: add a short rationale for the chosen representation using the Property evidence from RDF Plus Property Reasoning Drill.,Adaptive Tutor,PointInTime,2026-03-17T14:28:00Z,ISO 8601 UTC,,,,2026-03-17T14:28:00Z,,RDF Plus Property Reasoning Task Evidence,Property,RDF Plus Property Reasoning
RDF Plus Property Reasoning Review Comment,LearningFeedback,Learner Edward,RDF Plus Property Reasoning: strengthen the justification around Property before resubmitting the practice artifact.,Instructor Reviewer,PointInTime,2026-03-17T14:28:00Z,ISO 8601 UTC,,,,2026-03-17T14:28:00Z,,RDF Plus Property Reasoning Task Evidence,Property,RDF Plus Property Reasoning
RDF Plus Property Reasoning Drill Assessment Value,EvaluationResult,Learner Edward,RDF Plus Property Reasoning Drill scored artifact: 75 Score Percent for RDF Plus Property Reasoning.,Instructor Reviewer,PointInTime,2026-03-17T14:28:00Z,ISO 8601 UTC,,,,2026-03-17T14:28:00Z,,RDF Plus Property Reasoning Task Evidence,Property,RDF Plus Property Reasoning
Open Graph Metadata Mapping Tutor Note,Response,Learner Chris,Open Graph Metadata Mapping: separate terminology recall from model judgment using the Metadata evidence from Open Graph Metadata Audit.,Adaptive Tutor,PointInTime,2026-03-18T14:00:00Z,ISO 8601 UTC,,,,2026-03-18T14:00:00Z,,Open Graph Metadata Mapping Revision State,Metadata,Open Graph Metadata Mapping
Open Graph Metadata Mapping Next Step Note,LearningFeedback,Learner Chris,Open Graph Metadata Mapping: compare the nearby alternative around Metadata before resubmitting the practice artifact.,Learning Platform,PointInTime,2026-03-18T14:00:00Z,ISO 8601 UTC,,,,2026-03-18T14:00:00Z,,Open Graph Metadata Mapping Revision State,Metadata,Open Graph Metadata Mapping
Open Graph Metadata Audit Review Result,EvaluationResult,Learner Chris,Open Graph Metadata Audit review summary: 82 Score Percent for Open Graph Metadata Mapping.,Learning Platform,PointInTime,2026-03-18T14:00:00Z,ISO 8601 UTC,,,,2026-03-18T14:00:00Z,,Open Graph Metadata Mapping Revision State,Metadata,Open Graph Metadata Mapping
